Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
0,589;0,307760928;0,109689214;0,890310786;0,198071714;0,801928286;0,491226657;0,582549858
0,59;0,291703836;0,095063985;0,904936015;0,19663985;0,80336015;0,510720617;0,613232179
0,5955;0,290811775;0,095063985;0,904936015;0,19574779;0,80425221;0,5119851;0,614124239
0,602;0,278322926;0,084095064;0,915904936;0,194227862;0,805772138;0,527889779;0,63758201
0,605;0,27029438;0,071297989;0,928702011;0,198996391;0,801003609;0,537553695;0,658407631
0,613;0,269402319;0,071297989;0,928702011;0,19810433;0,80189567;0,538856374;0,659299692
0,621;0,268510259;0,071297989;0,928702011;0,19721227;0,80278773;0,540160645;0,660191752
0,624;0,268510259;0,069469835;0,930530165;0,199040423;0,800959577;0,5399033;0,662019906
0,6255;0,267618198;0,069469835;0,930530165;0,198148363;0,801851637;0,541209162;0,662911966
0,629;0,266726137;0,069469835;0,930530165;0,197256302;0,802743698;0,542516616;0,663804027
0,634;0,265834077;0,069469835;0,930530165;0,196364241;0,803635759;0,543825661;0,664696088
0,636;0,265834077;0,069469835;0,930530165;0,196364241;0,803635759;0,543825661;0,664696088
0,6365;0,246208742;0,063985375;0,936014625;0,182223367;0,817776633;0,572295389;0,689805883
0,638;0,23015165;0,054844607;0,945155393;0,175307043;0,824692957;0,595674412;0,715003743
0,646;0,227475468;0,053016453;0,946983547;0,174459015;0,825540985;0,599604896;0,719508078
0,654;0,226583408;0,053016453;0,946983547;0,173566954;0,826433046;0,60098397;0,720400139
0,657;0,224799286;0,053016453;0,946983547;0,171782833;0,828217167;0,603746891;0,72218426
0,659;0,223015165;0,0511883;0,9488117;0,171826865;0,828173135;0,606325676;0,725796535
0,66;0,212310437;0,047531993;0,952468007;0,164778444;0,835221556;0,622714138;0,74015757
0,665;0,208742194;0,040219378;0,959780622;0,168522816;0,831477184;0,627706513;0,751038427
0,6705;0,208742194;0,038391225;0,961608775;0,17035097;0,82964903;0,627562801;0,752866581
0,672;0,208742194;0,038391225;0,961608775;0,17035097;0,82964903;0,627562801;0,752866581
0,6805;0,200713649;0,034734918;0,965265082;0,165978731;0,834021269;0,640065186;0,764551434
0,6915;0,198037467;0,034734918;0,965265082;0,163302549;0,836697451;0,64435042;0,767227616
0,6945;0,187332739;0,029250457;0,970749543;0,158082282;0,841917718;0,661283667;0,783416804
0,695;0,186440678;0,029250457;0,970749543;0,157190221;0,842809779;0,66273436;0,784308865
0,696;0,184656557;0,02559415;0,97440585;0,159062407;0,840937593;0,665439991;0,789749293
0,701;0,184656557;0,023765996;0,976234004;0,16089056;0,83910944;0,665349753;0,791577447
0,706;0,180196253;0,021937843;0,978062157;0,158258411;0,841741589;0,672559452;0,797865904
0,707;0,177520071;0,018281536;0,981718464;0,159238536;0,840761464;0,676807448;0,804198393
0,7075;0,17573595;0,018281536;0,981718464;0,157454414;0,842545586;0,679745439;0,805982514
0,711;0,173059768;0,018281536;0,981718464;0,154778232;0,845221768;0,684164362;0,808658696
0,722;0,172167707;0,018281536;0,981718464;0,153886172;0,846113828;0,685640519;0,809550757
0,733;0,166815343;0,018281536;0,981718464;0,148533808;0,851466192;0,694530886;0,814903121
0,738;0,165923283;0,018281536;0,981718464;0,147641747;0,852358253;0,696018185;0,815795182
0,7405;0,160570919;0,018281536;0,981718464;0,142289383;0,857710617;0,704975397;0,821147546
0,742;0,152542373;0,016453382;0,983546618;0,136088991;0,863911009;0,718455144;0,831004245
0,7445;0,150758252;0,016453382;0,983546618;0,134304869;0,865695131;0,721482261;0,832788366
0,7465;0,150758252;0,014625229;0,985374771;0,136133023;0,863866977;0,721425445;0,83461652
0,751;0,14897413;0,014625229;0,985374771;0,134348902;0,865651098;0,724458928;0,836400641
0,7585;0,14897413;0,012797075;0,987202925;0,136177055;0,863822945;0,724408796;0,838228795
0,7625;0,14808207;0,012797075;0,987202925;0,135284995;0,864715005;0,725927925;0,839120855
0,763;0,14808207;0,012797075;0,987202925;0,135284995;0,864715005;0,725927925;0,839120855
0,764;0,139161463;0,012797075;0,987202925;0,126364388;0,873635612;0,741206752;0,848041462
0,7655;0,13559322;0,012797075;0,987202925;0,122796145;0,877203855;0,747362846;0,851609705
0,769;0,13470116;0,012797075;0,987202925;0,121904085;0,878095915;0,748905848;0,852501765
0,774;0,129348796;0,010968921;0,989031079;0,118379874;0,881620126;0,758153837;0,859682283
0,779;0,125780553;0,010968921;0,989031079;0,114811632;0,885188368;0,764379959;0,863250526
0,7885;0,124888492;0,010968921;0,989031079;0,113919571;0,886080429;0,765940468;0,864142586
0,7955;0,123996432;0,010968921;0,989031079;0,11302751;0,88697249;0,767502569;0,865034647
0,7975;0,123104371;0,010968921;0,989031079;0,11213545;0,88786455;0,769066261;0,865926708
0,799;0,123104371;0,010968921;0,989031079;0,11213545;0,88786455;0,769066261;0,865926708
0,8;0,116859946;0,009140768;0,990859232;0,107719179;0,892280821;0,780019908;0,873999286
0,8025;0,115967886;0,009140768;0,990859232;0,106827118;0,893172882;0,781596333;0,874891346
0,8045;0,115075825;0,009140768;0,990859232;0,105935057;0,894064943;0,783174349;0,875783407
0,808;0,115075825;0,007312614;0,992687386;0,107763211;0,892236789;0,78314427;0,877611561
0,8115;0,113291704;0,007312614;0,992687386;0,10597909;0,89402091;0,786305077;0,879395682
0,8135;0,110615522;0,007312614;0,992687386;0,103302908;0,896697092;0,791058224;0,882071864
0,815;0,110615522;0,007312614;0,992687386;0,103302908;0,896697092;0,791058224;0,882071864
0,8175;0,108831401;0,007312614;0,992687386;0,101518786;0,898481214;0,794234947;0,883855985
0,825;0,10793934;0,007312614;0,992687386;0,100626726;0,899373274;0,795825696;0,884748046
0,832;0,107047279;0,007312614;0,992687386;0,099734665;0,900265335;0,797418036;0,885640107
0,8375;0,102586976;0,007312614;0,992687386;0,095274362;0,904725638;0,80540361;0,89010041
0,846;0,077609277;0,005484461;0,994515539;0,072124817;0,927875183;0,850834724;0,916906262
0,852;0,076717217;0,005484461;0,994515539;0,071232756;0,928767244;0,852481177;0,917798323
0,856;0,075825156;0,005484461;0,994515539;0,070340695;0,929659305;0,854129221;0,918690383
0,8605;0,074933095;0,005484461;0,994515539;0,069448635;0,930551365;0,855778857;0,919582444
0,866;0,074041035;0,005484461;0,994515539;0,068556574;0,931443426;0,857430085;0,920474505
0,8715;0,069580731;0,005484461;0,994515539;0,064096271;0,935903729;0,865710095;0,924934808
0,8745;0,06779661;0,005484461;0,994515539;0,062312149;0,937687851;0,869033239;0,926718929
0,881;0,06690455;0,005484461;0,994515539;0,061420089;0,938579911;0,870697199;0,92761099
0,8925;0,066012489;0,005484461;0,994515539;0,060528028;0,939471972;0,87236275;0,92850305
0,9055;0,049955397;0,005484461;0,994515539;0,044470936;0,955529064;0,902614827;0,944560142
0,9285;0,042818912;0,005484461;0,994515539;0,037334451;0,962665549;0,916225715;0,951696628
0,956;0,032114184;0,005484461;0,994515539;0,026629723;0,973370277;0,936833033;0,962401356
0,9685;0,032114184;0,003656307;0,996343693;0,028457877;0,971542123;0,936816322;0,964229509
0,9765;0,031222123;0,001828154;0,998171846;0,02939397;0,97060603;0,938533917;0,966949723
0,993;0,030330062;0,001828154;0,998171846;0,028501909;0,971498091;0,94026313;0,967841784
1,007;0,021409456;0,001828154;0,998171846;0,019581302;0,980418698;0,957642795;0,976762391
1,0135;0,020517395;0,001828154;0,998171846;0,018689242;0,981310758;0,959389515;0,977654451
1,02;0,017841213;0,001828154;0,998171846;0,01601306;0,98398694;0,964639225;0,980330633
1,034;0,016949153;0,001828154;0,998171846;0,015120999;0,984879001;0,966392311;0,981222694
1,0575;0,014272971;0,001828154;0,998171846;0,012444817;0,987555183;0,971661119;0,983898876
1,0725;0,014272971;0;1;0,014272971;0,985727029;0,971657777;0,985727029
1,0755;0,008028546;0;1;0,008028546;0,991971454;0,984007366;0,991971454
1,095;0,007136485;0;1;0,007136485;0,992863515;0,985777959;0,992863515
1,1175;0,006244425;0;1;0,006244425;0,993755575;0,987550144;0,993755575
1,131;0,004460303;0;1;0,004460303;0,995539697;0,991099288;0,995539697
1,147;0,003568243;0;1;0,003568243;0,996431757;0,992876247;0,996431757
1,256;0,002676182;0;1;0,002676182;0,997323818;0,994654798;0,997323818
1,421;0,001784121;0;1;0,001784121;0,998215879;0,99643494;0,998215879
2,484;0;0;1;0;1;1;1
